lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Cempaka Mas, Jakarta Pusat",3,2,92,1050000000
"Cempaka Putih, Jakarta Pusat",2,2,75,1600000000
"Cempaka Putih, Jakarta Pusat",1,1,34,1340000000
"Cempaka Putih, Jakarta Pusat",2,1,33,525000000
"Cempaka Putih, Jakarta Pusat",2,1,34,520000000
"Cempaka Putih, Jakarta Pusat",2,1,34,400000000
"Cempaka Putih, Jakarta Pusat",2,1,33,370000000
"Cempaka Putih, Jakarta Pusat",2,1,33,370000000
"Cempaka Putih, Jakarta Pusat",2,1,33,370000000
"Cempaka Putih, Jakarta Pusat",2,1,33,370000000
"Cempaka Putih, Jakarta Pusat",2,1,33,370000000
"Cempaka Putih, Jakarta Pusat",2,1,33,370000000
"Cempaka Putih, Jakarta Pusat",2,1,34,500000000
"Cempaka Putih, Jakarta Pusat",2,1,34,450000000
"Cempaka Putih, Jakarta Pusat",2,1,36,515000000
"Cempaka Putih, Jakarta Pusat",2,1,36,515000000
"Cempaka Putih, Jakarta Pusat",2,1,36,515000000
"Cempaka Mas, Jakarta Pusat",3,2,92,800000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",1,1,34,1340000000
"Cempaka Putih, Jakarta Pusat",2,1,33,550000000
"Cempaka Putih, Jakarta Pusat",2,1,33,550000000
"Cempaka Putih, Jakarta Pusat",2,1,33,550000000
"Cempaka Putih, Jakarta Pusat",2,1,33,550000000
"Cempaka Mas, Jakarta Pusat",3,2,94,1300000000
"Cempaka Putih, Jakarta Pusat",2,1,33,495000000
"Cempaka Putih, Jakarta Pusat",1,1,21,255000000
"Cempaka Putih, Jakarta Pusat",2,2,89,1870000000
"Cempaka Mas, Jakarta Pusat",2,2,94,1100000000
"Cempaka Mas, Jakarta Pusat",3,2,94,1000000000
"Cempaka Putih, Jakarta Pusat",2,1,35,550000000
"Cempaka Putih, Jakarta Pusat",1,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,425000000
"Cempaka Putih, Jakarta Pusat",2,1,76,1600000000
"Cempaka Putih, Jakarta Pusat",1,1,21,355000000
"Cempaka Mas, Jakarta Pusat",2,1,74,750000000
"Cempaka Putih, Jakarta Pusat",1,1,21,360000000
"Cempaka Mas, Jakarta Pusat",2,1,74,650000000
"Cempaka Putih, Jakarta Pusat",2,1,33,600000000
"Cempaka Putih, Jakarta Pusat",2,2,75,2049999999
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,620000000
"Cempaka Putih, Jakarta Pusat",2,2,96,1200000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,2,91,1700000000
"Cempaka Putih, Jakarta Pusat",2,1,33,700000000
"Cempaka Putih, Jakarta Pusat",2,1,34,400000000
"Cempaka Putih, Jakarta Pusat",2,1,33,460000000
"Cempaka Putih, Jakarta Pusat",1,1,21,280000000
"Cempaka Putih, Jakarta Pusat",2,1,33,600000000
"Cempaka Putih, Jakarta Pusat",2,1,33,675000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,420000000
"Cempaka Putih, Jakarta Pusat",2,1,33,800000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Mas, Jakarta Pusat",2,1,74,670000000
"Cempaka Mas, Jakarta Pusat",2,1,74,670000000
"Cempaka Putih, Jakarta Pusat",3,2,95,1900000000
"Cempaka Putih, Jakarta Pusat",2,2,34,550000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Mas, Jakarta Pusat",3,2,94,700000000
"Cempaka Putih, Jakarta Pusat",2,1,36,700000000
"Cempaka Putih, Jakarta Pusat",2,1,33,425000000
"Cempaka Mas, Jakarta Pusat",3,2,94,775000000
"Cempaka Putih, Jakarta Pusat",2,2,93,1750000000
"Cempaka Putih, Jakarta Pusat",1,1,21,250000000
"Cempaka Putih, Jakarta Pusat",2,2,36,550000000
"Cempaka Putih, Jakarta Pusat",2,1,33,775000000
"Cempaka Putih, Jakarta Pusat",2,1,40,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,550000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,95,2100000000
"Cempaka Putih, Jakarta Pusat",2,1,95,2100000000
"Cempaka Putih, Jakarta Pusat",2,1,95,2100000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,600000000
"Cempaka Putih, Jakarta Pusat",2,1,33,460000000
"Cempaka Putih, Jakarta Pusat",2,2,89,1870000000
"Cempaka Putih, Jakarta Pusat",2,1,35,500000000
"Cempaka Mas, Jakarta Pusat",3,2,94,800000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,36,380000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,260000000
"Cempaka Putih, Jakarta Pusat",2,1,33,650000000
"Cempaka Mas, Jakarta Pusat",3,2,94,1200000000
"Cempaka Mas, Jakarta Pusat",3,2,94,875000000
"Cempaka Putih, Jakarta Pusat",2,1,33,400000000
"Cempaka Putih, Jakarta Pusat",2,1,33,400000000
"Cempaka Putih, Jakarta Pusat",1,1,21,320000000
"Cempaka Putih, Jakarta Pusat",2,1,34,250000000
"Cempaka Mas, Jakarta Pusat",3,2,74,670000000
"Cempaka Putih, Jakarta Pusat",2,1,33,475000000
"Cempaka Mas, Jakarta Pusat",2,1,74,650000000
"Cempaka Mas, Jakarta Pusat",3,2,73,800000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,2,91,2000000000
"Cempaka Putih, Jakarta Pusat",2,2,76,1680000000
"Cempaka Putih, Jakarta Pusat",2,1,35,600000000
"Cempaka Putih, Jakarta Pusat",1,1,21,450000000
"Cempaka Putih, Jakarta Pusat",1,1,21,450000000
"Cempaka Putih, Jakarta Pusat",1,1,21,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,420000000
"Cempaka Mas, Jakarta Pusat",2,1,76,715000000
"Cempaka Putih, Jakarta Pusat",2,1,33,560000000
"Cempaka Mas, Jakarta Pusat",2,1,70,800000000
"Cempaka Mas, Jakarta Pusat",3,2,94,1000000000
"Cempaka Mas, Jakarta Pusat",2,1,70,800000000
"Cempaka Putih, Jakarta Pusat",2,1,34,330000000
"Cempaka Putih, Jakarta Pusat",2,1,33,550000000
"Cempaka Putih, Jakarta Pusat",2,1,34,335000000
"Cempaka Putih, Jakarta Pusat",1,1,21,340000000
"Cempaka Putih, Jakarta Pusat",2,1,33,400000000
"Cempaka Putih, Jakarta Pusat",1,1,21,340000000
"Cempaka Putih, Jakarta Pusat",2,1,33,360000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
