lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Gajah Mada, Jakarta Pusat",2,1,49,1100000000
"Gajah Mada, Jakarta Pusat",3,1,65,680000000
"Gajah Mada, Jakarta Pusat",3,1,65,680000000
"Hayam Wuruk, Jakarta Pusat",1,1,60,630000000
"Gajah Mada, Jakarta Pusat",2,1,39,520000000
"Gajah Mada, Jakarta Pusat",2,1,56,775000000
"Gajah Mada, Jakarta Pusat",2,2,56,800000000
"Gajah Mada, Jakarta Pusat",1,1,33,360000000
"Gajah Mada, Jakarta Pusat",2,1,42,650000000
"Harmoni, Jakarta Pusat",2,1,97,1080000000
"Gajah Mada, Jakarta Pusat",2,1,63,1100000000
"Gajah Mada, Jakarta Pusat",2,1,47,1100000000
"Gambir, Jakarta Pusat",3,2,139,999000000
"Gambir, Jakarta Pusat",3,2,139,999000000
"Roxy, Jakarta Pusat",3,2,100,1600000000
"Gambir, Jakarta Pusat",2,1,84,1300000000
"Gajah Mada, Jakarta Pusat",1,1,32,380000000
"Gajah Mada, Jakarta Pusat",1,1,32,380000000
"Gajah Mada, Jakarta Pusat",1,1,32,380000000
"Gajah Mada, Jakarta Pusat",1,1,32,380000000
"Gajah Mada, Jakarta Pusat",2,1,46,450000000
"Gajah Mada, Jakarta Pusat",3,2,82,1400000000
"Gajah Mada, Jakarta Pusat",3,2,68,800000000
"Gajah Mada, Jakarta Pusat",2,1,42,600000000
"Gajah Mada, Jakarta Pusat",3,1,55,690000000
"Gajah Mada, Jakarta Pusat",2,1,39,530000000
"Gajah Mada, Jakarta Pusat",2,1,47,530000000
"Gajah Mada, Jakarta Pusat",2,1,47,530000000
"Gajah Mada, Jakarta Pusat",3,2,68,1000000000
"Gajah Mada, Jakarta Pusat",3,1,65,750000000
"Gajah Mada, Jakarta Pusat",2,2,58,700000000
"Harmoni, Jakarta Pusat",3,2,111,1500000000
"Gambir, Jakarta Pusat",3,2,76,1150000000
"Harmoni, Jakarta Pusat",2,1,99,1050000000
"Petojo, Jakarta Pusat",2,1,84,1000000000
