lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Kemayoran, Jakarta Pusat",2,1,70,900000000
"Kemayoran, Jakarta Pusat",1,1,45,1100000000
"Kemayoran, Jakarta Pusat",2,1,36,370000000
"Kemayoran, Jakarta Pusat",2,1,36,370000000
"Kemayoran, Jakarta Pusat",3,3,70,700000000
"Kemayoran, Jakarta Pusat",2,1,62,850000000
"Kemayoran, Jakarta Pusat",2,1,36,400000000
"Kemayoran, Jakarta Pusat",2,1,74,1490000000
"Kemayoran, Jakarta Pusat",1,1,29,550000000
"Kemayoran, Jakarta Pusat",3,3,96,1000000000
"Kemayoran, Jakarta Pusat",2,1,36,370000000
"Kemayoran, Jakarta Pusat",2,1,72,1100000000
"Kemayoran, Jakarta Pusat",2,1,36,370000000
"Kemayoran, Jakarta Pusat",3,3,70,700000000
"Kemayoran, Jakarta Pusat",3,3,97,1250000000
"Kemayoran, Jakarta Pusat",3,2,100,1600000000
"Kemayoran, Jakarta Pusat",2,1,85,1250000000
"Kemayoran, Jakarta Pusat",3,2,70,850000000
"Kemayoran, Jakarta Pusat",2,1,49,1850000000
"Kemayoran, Jakarta Pusat",3,2,90,785000000
"Kemayoran, Jakarta Pusat",2,2,52,1250000000
"Kemayoran, Jakarta Pusat",2,2,73,1050000000
"Kemayoran, Jakarta Pusat",2,2,73,1050000000
"Kemayoran, Jakarta Pusat",2,1,70,750000000
"Kemayoran, Jakarta Pusat",2,2,73,1050000000
"Kemayoran, Jakarta Pusat",2,1,36,400000000
"Kemayoran, Jakarta Pusat",3,3,97,1250000000
"Kemayoran, Jakarta Pusat",2,1,73,1100000000
"Kemayoran, Jakarta Pusat",2,1,40,480000000
"Kemayoran, Jakarta Pusat",2,1,52,750000000
"Kemayoran, Jakarta Pusat",2,1,60,700000000
"Kemayoran, Jakarta Pusat",1,1,40,1300000000
"Kemayoran, Jakarta Pusat",2,2,146,2800000000
"Kemayoran, Jakarta Pusat",2,2,146,2800000000
"Kemayoran, Jakarta Pusat",1,1,32,300000000
"Kemayoran, Jakarta Pusat",2,1,70,599000000
"Kemayoran, Jakarta Pusat",2,1,76,900000000
"Kemayoran, Jakarta Pusat",1,1,31,500000000
"Kemayoran, Jakarta Pusat",2,1,43,900000000
"Kemayoran, Jakarta Pusat",2,1,45,600000000
"Kemayoran, Jakarta Pusat",3,2,70,650000000
"Kemayoran, Jakarta Pusat",2,1,45,600000000
"Kemayoran, Jakarta Pusat",2,1,49,1750000000
"Kemayoran, Jakarta Pusat",2,1,119,2300000000
"Kemayoran, Jakarta Pusat",1,1,24,280000000
"Kemayoran, Jakarta Pusat",2,1,45,600000000
"Kemayoran, Jakarta Pusat",1,1,24,280000000
"Kemayoran, Jakarta Pusat",1,1,24,280000000
"Kemayoran, Jakarta Pusat",2,1,45,600000000
"Kemayoran, Jakarta Pusat",2,1,45,600000000
"Kemayoran, Jakarta Pusat",2,1,45,600000000
"Kemayoran, Jakarta Pusat",2,1,45,600000000
"Kemayoran, Jakarta Pusat",2,1,58,1350000000
