lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Cikini, Jakarta Pusat",1,1,33,1800000000
"Menteng, Jakarta Pusat",2,2,60,2400000000
"Cikini, Jakarta Pusat",2,1,65,2900000000
"Menteng Atas, Jakarta Pusat",2,1,68,1300000000
"Menteng, Jakarta Pusat",2,1,132,3750000000
"Cikini, Jakarta Pusat",2,1,64,3000000000
"Cikini, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,111,4500000000
"Menteng, Jakarta Pusat",2,2,61,2550000000
"Menteng, Jakarta Pusat",2,2,72,2500000000
"Menteng, Jakarta Pusat",2,1,61,2840000000
"Menteng Atas, Jakarta Pusat",2,1,60,1250000000
"Menteng, Jakarta Pusat",3,2,112,5000000000
"Menteng, Jakarta Pusat",2,2,126,4700000000
"Menteng, Jakarta Pusat",2,2,126,4700000000
"Menteng, Jakarta Pusat",2,2,126,4700000000
"Cikini, Jakarta Pusat",2,1,62,2300000000
"Menteng, Jakarta Pusat",1,1,33,1750000000
"Menteng, Jakarta Pusat",1,1,33,1750000000
"Menteng, Jakarta Pusat",2,1,61,2550000000
"Menteng, Jakarta Pusat",1,1,33,1450000000
"Menteng, Jakarta Pusat",2,2,72,2500000000
"Menteng, Jakarta Pusat",1,1,30,1200000000
"Menteng, Jakarta Pusat",3,2,120,4000000000
"Menteng, Jakarta Pusat",2,2,111,4500000000
"Cikini, Jakarta Pusat",1,1,33,1750000000
"Menteng, Jakarta Pusat",1,1,21,950000000
"Menteng, Jakarta Pusat",1,1,33,1750000000
"Menteng, Jakarta Pusat",2,2,62,3300000000
"Menteng, Jakarta Pusat",2,1,58,2500000000
"Menteng, Jakarta Pusat",1,1,28,900000000
"Menteng, Jakarta Pusat",2,2,72,4099999999
"Menteng, Jakarta Pusat",2,2,65,2600000000
"Menteng, Jakarta Pusat",1,1,28,1300000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,127,6000000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Pegangsaan, Jakarta Pusat",2,2,132,3750000000
"Cikini, Jakarta Pusat",2,1,58,2500000000
"Menteng, Jakarta Pusat",2,2,66,3250000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",1,1,33,1350000000
"Cikini, Jakarta Pusat",2,1,48,2300000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,2,53,2500000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,2,53,1800000000
"Menteng, Jakarta Pusat",1,1,33,1300000000
"Menteng, Jakarta Pusat",2,2,72,3100000000
"Menteng, Jakarta Pusat",2,1,63,2500000000
"Menteng, Jakarta Pusat",2,1,33,550000000
"Cikini, Jakarta Pusat",1,1,28,900000000
"Menteng, Jakarta Pusat",2,2,33,1050000000
"Menteng, Jakarta Pusat",1,1,33,1300000000
"Menteng, Jakarta Pusat",2,2,132,3500000000
"Menteng, Jakarta Pusat",2,1,48,1800000000
"Menteng, Jakarta Pusat",1,1,53,975000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,1,61,2900000000
"Menteng, Jakarta Pusat",2,1,61,2900000000
"Menteng, Jakarta Pusat",2,1,60,2350000000
"Menteng, Jakarta Pusat",2,1,60,2650000000
"Cikini, Jakarta Pusat",2,1,48,1600000000
"Cikini, Jakarta Pusat",1,1,28,860000000
"Cikini, Jakarta Pusat",3,2,112,5800000000
"Cikini, Jakarta Pusat",1,1,33,970000000
"Cikini, Jakarta Pusat",2,1,61,2500000000
"Menteng, Jakarta Pusat",1,1,28,1070000000
"Menteng, Jakarta Pusat",2,2,132,4500000000
"Menteng, Jakarta Pusat",2,1,64,2850000000
"Menteng, Jakarta Pusat",2,2,64,3600000000
"Menteng, Jakarta Pusat",2,1,61,3000000000
"Menteng, Jakarta Pusat",1,1,28,1250000000
"Menteng, Jakarta Pusat",1,1,33,1350000000
"Menteng, Jakarta Pusat",3,2,167,4000000000
"Menteng, Jakarta Pusat",2,2,132,3900000000
"Cikini, Jakarta Pusat",2,2,72,3500000000
"Pegangsaan, Jakarta Pusat",2,1,48,725000000
"Menteng, Jakarta Pusat",2,1,58,2900000000
"Menteng, Jakarta Pusat",1,1,33,1350000000
"Cikini, Jakarta Pusat",2,1,61,4000000000
"Cikini, Jakarta Pusat",3,2,112,6500000000
"Menteng, Jakarta Pusat",1,1,24,1350000000
"Menteng, Jakarta Pusat",1,1,33,1800000000
"Menteng, Jakarta Pusat",2,1,61,2900000000
"CBD Area, Jakarta Pusat",3,2,149,6000000000
"Menteng, Jakarta Pusat",1,1,33,2200000000
"Cikini, Jakarta Pusat",2,1,53,1850000000
"Menteng, Jakarta Pusat",1,1,28,975000000
"Menteng, Jakarta Pusat",2,2,60,3250000000
"Kebon Sirih, Jakarta Pusat",2,2,146,6500000000
"Menteng, Jakarta Pusat",3,2,135,6000000000
"Menteng, Jakarta Pusat",1,1,33,1550000000
"CBD Area, Jakarta Pusat",2,1,82,3000000000
"Menteng, Jakarta Pusat",2,2,72,3500000000
"Menteng, Jakarta Pusat",1,1,28,1050000000
"Menteng, Jakarta Pusat",1,1,28,950000000
"Cikini, Jakarta Pusat",2,1,61,3090000000
"Cikini, Jakarta Pusat",2,1,64,2750000000
"Cikini, Jakarta Pusat",2,1,58,2900000000
"Cikini, Jakarta Pusat",2,2,72,4200000000
"Menteng, Jakarta Pusat",1,1,33,1450000000
"Menteng, Jakarta Pusat",2,2,72,4200000000
"Menteng, Jakarta Pusat",1,1,28,1200000000
"Menteng, Jakarta Pusat",2,1,61,2200000000
"Menteng, Jakarta Pusat",2,1,61,2300000000
"Menteng, Jakarta Pusat",1,1,33,1800000000
"Menteng, Jakarta Pusat",2,2,60,2000000000
"Menteng, Jakarta Pusat",1,1,28,1300000000
"Menteng, Jakarta Pusat",2,2,58,3000000000
"Cikini, Jakarta Pusat",1,1,33,1250000000
"Menteng Atas, Jakarta Pusat",3,2,74,1350000000
"Menteng, Jakarta Pusat",1,1,33,1200000000
"Menteng, Jakarta Pusat",1,1,33,1200000000
"Menteng, Jakarta Pusat",2,2,40,800000000
"Menteng Atas, Jakarta Pusat",2,2,86,3250000000
"Menteng Atas, Jakarta Pusat",2,2,73,1350000000
"Cikini, Jakarta Pusat",1,1,28,970000000
"Menteng, Jakarta Pusat",1,1,33,1600000000
"Menteng, Jakarta Pusat",1,1,33,1750000000
"Menteng Atas, Jakarta Pusat",1,1,51,1650000000
"Menteng Atas, Jakarta Pusat",2,2,105,3000000000
"Menteng, Jakarta Pusat",2,1,61,2400000000
"Menteng, Jakarta Pusat",2,1,61,2400000000
"Menteng, Jakarta Pusat",2,1,61,2400000000
"Menteng, Jakarta Pusat",2,1,60,2500000000
"Menteng, Jakarta Pusat",2,2,61,2600000000
"Menteng, Jakarta Pusat",2,2,61,2600000000
"Menteng, Jakarta Pusat",2,2,61,2600000000
"Menteng, Jakarta Pusat",2,1,53,2000000000
"Menteng, Jakarta Pusat",2,2,157,5200000000
"Menteng, Jakarta Pusat",1,1,30,2000000000
"Menteng, Jakarta Pusat",2,1,62,2300000000
"Menteng, Jakarta Pusat",3,2,160,4800000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Cikini, Jakarta Pusat",2,1,61,2700000000
"Cikini, Jakarta Pusat",2,1,53,2400000000
"Cikini, Jakarta Pusat",2,1,61,2700000000
"Menteng, Jakarta Pusat",1,1,33,1350000000
"Cikini, Jakarta Pusat",2,2,64,3000000000
"CBD Area, Jakarta Pusat",1,1,37,800000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Cikini, Jakarta Pusat",2,1,64,3000000000
"Menteng Atas, Jakarta Pusat",3,3,94,1650000000
"Cikini, Jakarta Pusat",2,1,58,3500000000
"Cikini, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,111,4500000000
"Menteng, Jakarta Pusat",2,1,64,2200000000
"Menteng, Jakarta Pusat",3,2,142,4600000000
"Menteng, Jakarta Pusat",2,2,60,2400000000
"Menteng, Jakarta Pusat",2,2,72,2700000000
"Cikini, Jakarta Pusat",2,1,64,2950000000
"Menteng, Jakarta Pusat",1,1,33,1350000000
"Cikini, Jakarta Pusat",2,1,48,2250000000
"Cikini, Jakarta Pusat",2,1,28,1000000000
"CBD Area, Jakarta Pusat",1,1,29,800000000
"Cikini, Jakarta Pusat",1,1,25,1100000000
"Menteng, Jakarta Pusat",1,1,33,1000000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",1,1,33,1800000000
"Cikini, Jakarta Pusat",2,2,60,2400000000
"Menteng, Jakarta Pusat",2,1,61,2800000000
"Menteng, Jakarta Pusat",2,1,48,1700000000
"Menteng, Jakarta Pusat",1,1,72,2400000000
"Menteng, Jakarta Pusat",2,2,48,1850000000
"Menteng, Jakarta Pusat",2,2,60,1800000000
"Menteng, Jakarta Pusat",1,1,33,1750000000
"Menteng, Jakarta Pusat",1,1,40,1700000000
"Menteng, Jakarta Pusat",1,1,32,1350000000
"Menteng, Jakarta Pusat",3,2,120,5800000000
"Menteng Atas, Jakarta Pusat",3,2,113,2600000000
"Menteng, Jakarta Pusat",1,1,40,2000000000
